month,day,event
11,29,President Trump's former lawyer Michael Cohen pleads guilty to lying to Congress in relation to the Russia inquiry.
11,30,"Former President George H. W. Bush dies from Parkinson's disease at the age of 94 at his home in Houston, Texas."
11,30,Anchorage is hit by a 7.0 magnitude earthquake.
12,11,"The Balangiga bells, which had been taken by the United States Army from Balangiga, Eastern Samar in 1901 as war trophies during the Philippine–American War, are returned to the Philippines after 117 years of U.S. possession."
12,12,"Michael Cohen, the ex-Trump lawyer who once said he'd ""take a bullet"" for the president, is given a 36-month jail term."
12,13,"In a rare rebuke to the White House, the Senate votes 56-41 to end US military assistance to Saudi Arabia's intervention in Yemen over alleged war crimes. It passes a separate resolution that holds Saudi Crown Prince Mohammed bin Salman personally responsible for the death of Saudi dissident Jamal Kashoggi."
12,14,US District Judge Reed O'Connor rules that a key part of the Affordable Care Act is unconstitutional.
12,14,"Denise Williams is found guilty of the murder of her husband Jerry Michael Williams, who disappeared in December 2000 and was assumed to have accidentally drowned at Lake Seminole, Florida."
12,18,"The Donald J. Trump Foundation is shut down, amid allegations that President Trump and others illegally misused its funds."
12,20,"Defense Secretary Jim Mattis resigns, effective February 28, 2019, after failing to persuade Trump to reconsider his decision of the previous day to withdraw the remaining American troops from Syria."
12,21,"The Dow Jones closes at 22,445.37 after its worst week since 2008."
12,22,A partial shutdown of the government begins after Congress fails to agree a budget.
12,22,U.S. envoy Brett McGurk resigns over Trump's decision to pull troops from Syria.
12,24,Actor Kevin Spacey is charged with sexually assaulting a teenager at a bar in Massachusetts in July 2016 and ordered to appear in court on 7 January.
12,31,Senator Elizabeth Warren announces her intention to run for president in the 2020 election.
